,carat,cut,color,clarity,depth,table,volume
8112,0.74,Ideal,D,SI2,61.7,55.0,0.21082621082621084
8113,0.42,Premium,I,SI1,62.6,58.0,0.11965811965811966
8114,2.39,Ideal,I,VS2,62.2,55.0,0.680911680911681
8115,0.23,Very Good,G,VVS2,62.8,55.0,0.06552706552706554
8116,1.53,Premium,H,SI1,62.4,60.0,0.43589743589743596
8117,0.32,Very Good,E,VS1,62.9,57.0,0.09116809116809117
8118,0.36,Ideal,E,VS2,61.7,55.0,0.10256410256410256
8119,1.0,Very Good,F,VS1,58.4,63.0,0.2849002849002849
8120,1.16,Ideal,I,SI2,62.6,56.0,0.33048433048433046
8121,1.46,Good,E,VS2,63.9,57.0,0.41595441595441596
8122,0.39,Very Good,F,VVS2,63.3,56.0,0.11111111111111112
8123,1.01,Ideal,G,VVS2,60.9,54.0,0.28774928774928776
8124,1.25,Very Good,I,SI1,58.9,58.0,0.3561253561253562
8125,0.52,Ideal,G,VS1,63.0,54.0,0.14814814814814817
8126,0.31,Ideal,G,VS2,61.8,53.0,0.08831908831908833
8127,0.38,Premium,G,SI1,60.0,60.0,0.10826210826210828
8128,0.31,Premium,F,VS2,62.4,58.0,0.08831908831908833
8129,0.92,Ideal,F,SI1,62.8,56.0,0.26210826210826216
8130,0.79,Ideal,G,VVS2,62.1,56.0,0.2250712250712251
8131,0.42,Very Good,G,SI1,63.1,56.0,0.11965811965811966
8132,0.55,Ideal,G,SI2,62.1,56.0,0.1566951566951567
8133,0.7,Premium,H,SI1,62.3,58.0,0.19943019943019943
8134,1.15,Premium,G,SI2,62.5,55.0,0.32763532763532766
8135,0.31,Ideal,D,VS2,61.2,55.0,0.08831908831908833
8136,0.62,Very Good,F,VS2,59.8,58.0,0.17663817663817666
8137,0.75,Very Good,E,VS1,61.9,58.0,0.2136752136752137
8138,0.73,Ideal,I,SI1,62.0,56.0,0.20797720797720798
8139,0.5,Very Good,E,VS2,63.4,59.0,0.14245014245014245
8140,0.23,Very Good,D,VVS2,63.5,58.0,0.06552706552706554
8141,1.01,Premium,E,SI2,60.8,58.0,0.28774928774928776
8142,0.28,Ideal,G,VVS2,61.4,56.0,0.07977207977207978
8143,0.53,Premium,F,SI1,62.0,59.0,0.15099715099715103
8144,0.52,Ideal,D,VS2,61.7,56.0,0.14814814814814817
8145,2.01,Very Good,D,SI2,58.3,63.0,0.5726495726495726
8146,0.7,Very Good,G,SI1,62.7,55.0,0.19943019943019943
8147,0.34,Ideal,I,SI1,62.4,56.0,0.09686609686609687
8148,0.42,Ideal,G,VS2,61.7,57.0,0.11965811965811966
8149,0.46,Ideal,E,SI2,61.3,56.0,0.13105413105413108
8150,0.32,Ideal,H,VS2,63.0,57.0,0.09116809116809117
8151,0.4,Good,G,VS1,59.6,61.0,0.11396011396011398
8152,1.04,Very Good,F,IF,59.8,56.0,0.29629629629629634
8153,0.55,Premium,D,SI1,60.7,58.0,0.1566951566951567
8154,1.0,Very Good,E,VS1,62.3,53.0,0.2849002849002849
8155,0.42,Ideal,G,VVS2,60.7,55.0,0.11965811965811966
8156,0.48,Very Good,F,VS2,62.6,55.0,0.13675213675213677
8157,0.33,Ideal,E,VS2,61.9,56.0,0.09401709401709403
8158,0.56,Ideal,E,VVS2,61.7,56.0,0.15954415954415957
8159,1.01,Very Good,H,SI1,61.9,57.0,0.28774928774928776
8160,1.53,Very Good,E,SI1,60.8,60.0,0.43589743589743596
8161,0.33,Ideal,F,VS2,62.3,55.0,0.09401709401709403
8162,1.56,Ideal,H,SI2,62.3,55.0,0.4444444444444445
8163,0.44,Very Good,H,IF,61.1,57.0,0.12535612535612536
8164,1.0,Good,F,SI1,64.1,60.0,0.2849002849002849
8165,0.85,Very Good,I,VS2,60.0,57.0,0.24216524216524218
8166,1.22,Premium,G,VVS2,62.0,58.0,0.3475783475783476
8167,1.01,Very Good,F,VS2,60.6,55.0,0.28774928774928776
8168,1.11,Ideal,D,SI2,62.2,57.0,0.3162393162393163
8169,1.64,Ideal,I,VS2,62.5,56.0,0.4672364672364672
8170,0.7,Very Good,G,VVS2,63.6,57.0,0.19943019943019943
8171,0.9,Very Good,H,VVS2,63.7,57.0,0.25641025641025644
8172,0.32,Ideal,D,VS2,61.5,56.0,0.09116809116809117
8173,0.4,Ideal,F,VVS1,61.3,55.0,0.11396011396011398
8174,0.3,Ideal,I,VS2,62.7,54.0,0.08547008547008547
8175,0.31,Premium,F,VS2,59.7,58.0,0.08831908831908833
8176,1.62,Ideal,I,VVS2,62.7,54.0,0.4615384615384616
8177,0.74,Ideal,D,SI1,62.2,56.0,0.21082621082621084
8178,0.7,Premium,G,SI1,61.2,60.0,0.19943019943019943
8179,0.7,Good,E,SI1,65.0,57.0,0.19943019943019943
8180,0.97,Fair,J,SI2,60.8,67.0,0.2763532763532764
8181,0.41,Ideal,E,VS1,62.3,57.0,0.1168091168091168
8182,1.51,Premium,H,VS1,59.8,61.0,0.43019943019943024
8183,0.76,Very Good,G,VVS2,62.3,57.0,0.21652421652421655
8184,1.5,Good,E,VS2,63.9,58.0,0.4273504273504274
8185,0.32,Premium,F,VS2,59.7,62.0,0.09116809116809117
8186,1.51,Ideal,H,SI1,61.9,57.0,0.43019943019943024
8187,1.52,Fair,H,SI1,64.6,55.0,0.4330484330484331
8188,0.35,Very Good,H,SI1,61.0,62.0,0.09971509971509972
8189,1.01,Ideal,I,SI1,61.9,57.0,0.28774928774928776
8190,0.34,Ideal,F,VVS2,61.3,56.0,0.09686609686609687
8191,0.75,Ideal,F,SI2,62.1,55.0,0.2136752136752137
8192,1.59,Premium,H,VS2,62.1,58.0,0.45299145299145305
8193,0.71,Ideal,E,VS2,61.8,57.0,0.2022792022792023
8194,0.51,Premium,I,SI1,62.7,59.0,0.1452991452991453
8195,2.03,Premium,J,SI2,62.7,59.0,0.5783475783475783
8196,0.32,Good,E,SI1,62.5,61.0,0.09116809116809117
8197,1.04,Good,F,SI1,63.6,59.0,0.29629629629629634
8198,0.56,Ideal,G,VVS2,61.0,57.0,0.15954415954415957
8199,2.01,Very Good,H,SI2,62.9,55.0,0.5726495726495726
8200,0.3,Premium,D,SI1,62.6,59.0,0.08547008547008547
8201,1.01,Very Good,H,VS2,59.7,64.0,0.28774928774928776
8202,1.11,Ideal,H,SI1,62.0,56.0,0.3162393162393163
8203,0.9,Ideal,I,VS2,62.6,54.3,0.25641025641025644
8204,0.32,Premium,E,SI2,61.7,60.0,0.09116809116809117
8205,0.31,Premium,J,VS1,61.8,59.0,0.08831908831908833
8206,0.41,Very Good,D,VS1,62.9,57.0,0.1168091168091168
8207,0.56,Ideal,D,VS2,61.0,57.0,0.15954415954415957
8208,0.38,Premium,D,SI1,58.9,61.0,0.10826210826210828
8209,0.47,Very Good,F,VS2,59.6,58.1,0.1339031339031339
8210,1.26,Ideal,E,VVS2,61.1,57.0,0.358974358974359
8211,1.08,Ideal,G,SI2,61.3,57.0,0.3076923076923077
8212,0.98,Good,F,SI1,56.8,64.0,0.2792022792022792
8213,0.32,Ideal,D,VS2,61.1,56.0,0.09116809116809117
8214,0.52,Good,E,VS2,64.3,56.0,0.14814814814814817
8215,0.23,Very Good,H,VVS1,61.6,56.0,0.06552706552706554
8216,0.52,Premium,D,SI1,61.4,58.0,0.14814814814814817
8217,0.39,Ideal,G,SI1,61.4,55.0,0.11111111111111112
8218,1.31,Ideal,I,VS2,61.7,55.0,0.37321937321937326
8219,0.52,Premium,G,VS1,61.1,58.0,0.14814814814814817
8220,1.1,Ideal,I,VS2,61.8,56.0,0.3133903133903134
8221,0.71,Good,I,VS2,64.3,63.0,0.2022792022792023
8222,1.0,Premium,E,VS2,62.7,59.0,0.2849002849002849
8223,1.02,Premium,F,SI2,58.0,60.0,0.2905982905982906
8224,0.7,Ideal,I,VS1,63.0,54.0,0.19943019943019943
8225,0.32,Ideal,G,IF,61.2,55.0,0.09116809116809117
8226,0.73,Very Good,H,SI1,59.5,58.0,0.20797720797720798
8227,0.4,Very Good,F,SI1,63.1,58.0,0.11396011396011398
8228,0.31,Very Good,D,SI2,62.7,59.0,0.08831908831908833
8229,0.31,Premium,F,VS2,59.4,58.0,0.08831908831908833
8230,1.1,Very Good,H,SI1,62.4,58.0,0.3133903133903134
8231,1.03,Very Good,E,SI1,61.3,60.0,0.2934472934472935
8232,0.4,Premium,F,SI1,61.2,58.0,0.11396011396011398
8233,1.61,Very Good,E,SI1,62.3,57.0,0.45868945868945876
8234,0.9,Very Good,G,SI2,60.8,57.0,0.25641025641025644
8235,0.69,Premium,H,VS2,60.8,59.0,0.19658119658119658
8236,0.74,Ideal,G,VVS1,62.1,54.0,0.21082621082621084
8237,1.17,Very Good,H,SI1,63.1,56.0,0.3333333333333333
8238,0.61,Very Good,I,IF,60.2,57.0,0.1737891737891738
8239,1.07,Very Good,H,SI2,61.8,63.0,0.30484330484330485
8240,0.93,Ideal,D,SI1,61.6,57.0,0.26495726495726496
8241,0.9,Very Good,E,SI1,63.2,57.0,0.25641025641025644
8242,1.2,Very Good,G,VS1,62.5,57.0,0.3418803418803419
8243,0.24,Very Good,E,VVS2,63.4,57.0,0.06837606837606838
8244,1.52,Ideal,E,VS2,62.2,57.0,0.4330484330484331
8245,0.33,Ideal,G,VVS1,62.4,56.0,0.09401709401709403
8246,1.2,Premium,G,VS1,62.4,58.0,0.3418803418803419
8247,2.02,Premium,F,SI2,61.3,58.0,0.5754985754985755
8248,0.41,Premium,G,VS2,61.8,58.0,0.1168091168091168
8249,0.9,Good,E,SI1,63.8,56.0,0.25641025641025644
8250,1.24,Premium,F,SI1,61.6,59.0,0.3532763532763533
8251,1.14,Premium,D,SI2,60.3,58.0,0.3247863247863248
8252,0.31,Premium,H,VVS2,62.3,60.0,0.08831908831908833
8253,1.02,Premium,H,SI2,62.4,59.0,0.2905982905982906
8254,2.21,Premium,H,SI1,61.1,58.0,0.6296296296296297
8255,1.04,Premium,D,SI1,61.5,58.0,0.29629629629629634
8256,0.3,Premium,D,SI1,61.7,59.0,0.08547008547008547
8257,1.09,Premium,F,VS1,60.9,58.0,0.31054131054131057
8258,0.8,Very Good,H,VVS2,62.9,56.0,0.22792022792022795
8259,0.33,Ideal,I,IF,62.0,54.0,0.09401709401709403
8260,0.33,Ideal,E,VS1,62.7,57.0,0.09401709401709403
8261,0.38,Ideal,E,IF,61.9,56.0,0.10826210826210828
8262,0.31,Ideal,E,VS2,62.4,54.0,0.08831908831908833
8263,0.5,Very Good,D,VS2,61.2,55.0,0.14245014245014245
8264,0.25,Premium,E,VVS1,60.7,60.0,0.07122507122507123
8265,0.3,Premium,H,VS1,62.5,58.0,0.08547008547008547
8266,1.02,Premium,F,SI2,59.9,62.0,0.2905982905982906
8267,1.07,Ideal,E,SI2,61.5,56.0,0.30484330484330485
8268,0.82,Premium,E,SI2,61.7,59.0,0.2336182336182336
8269,0.9,Good,I,SI1,63.5,59.0,0.25641025641025644
8270,0.77,Premium,H,VS2,59.4,60.0,0.21937321937321938
8271,0.51,Ideal,I,SI1,62.2,56.0,0.1452991452991453
8272,1.2,Ideal,H,VS1,62.5,57.0,0.3418803418803419
8273,1.2,Ideal,G,SI1,61.6,57.0,0.3418803418803419
8274,1.01,Premium,D,SI2,62.2,60.0,0.28774928774928776
8275,0.7,Ideal,D,VVS2,61.3,56.0,0.19943019943019943
8276,0.73,Premium,H,SI2,60.5,57.0,0.20797720797720798
8277,0.34,Premium,F,SI2,60.0,62.0,0.09686609686609687
8278,1.54,Fair,F,SI2,64.4,60.0,0.43874643874643876
8279,0.71,Good,E,SI1,65.9,57.0,0.2022792022792023
8280,1.71,Ideal,G,VVS2,62.1,55.0,0.4871794871794872
8281,0.41,Very Good,F,VS1,63.0,57.0,0.1168091168091168
8282,0.7,Ideal,E,VS2,61.5,56.0,0.19943019943019943
8283,0.53,Very Good,G,VVS1,61.7,57.0,0.15099715099715103
8284,0.3,Very Good,E,VS2,62.0,58.0,0.08547008547008547
8285,0.62,Ideal,F,VS1,61.2,54.0,0.17663817663817666
8286,1.13,Premium,D,SI2,60.9,59.0,0.32193732193732194
8287,0.35,Premium,G,SI1,60.3,60.0,0.09971509971509972
8288,0.53,Ideal,D,VS2,61.4,56.0,0.15099715099715103
8289,0.32,Ideal,I,VVS2,61.7,56.0,0.09116809116809117
8290,0.72,Premium,E,VS2,61.1,59.0,0.20512820512820512
8291,1.01,Good,D,VS1,56.8,61.0,0.28774928774928776
8292,0.32,Good,F,SI1,63.8,59.0,0.09116809116809117
8293,0.71,Ideal,G,SI1,61.5,57.0,0.2022792022792023
8294,1.02,Ideal,F,VS2,62.0,55.0,0.2905982905982906
8295,0.9,Very Good,H,VS2,61.2,61.0,0.25641025641025644
8296,0.41,Premium,F,VVS1,62.1,56.0,0.1168091168091168
8297,0.99,Fair,H,VS2,71.6,57.0,0.28205128205128205
8298,1.5,Premium,F,VS1,59.6,60.0,0.4273504273504274
8299,0.33,Very Good,F,SI2,63.0,58.0,0.09401709401709403
8300,0.73,Premium,F,SI2,62.0,57.0,0.20797720797720798
8301,0.31,Ideal,D,VVS2,61.6,54.0,0.08831908831908833
8302,1.5,Premium,D,SI2,59.9,62.0,0.4273504273504274
8303,1.24,Ideal,I,SI2,61.8,58.0,0.3532763532763533
8304,0.33,Ideal,I,VS1,62.1,53.9,0.09401709401709403
8305,1.03,Ideal,H,SI1,61.0,55.0,0.2934472934472935
8306,1.1,Premium,I,SI1,62.0,59.0,0.3133903133903134
8307,0.41,Very Good,H,VS2,60.0,57.0,0.1168091168091168
8308,0.32,Ideal,H,VVS1,61.3,57.0,0.09116809116809117
8309,0.31,Ideal,G,VVS2,62.0,56.0,0.08831908831908833
8310,0.31,Very Good,H,VS1,62.8,58.0,0.08831908831908833
8311,0.42,Premium,E,SI1,60.0,58.0,0.11965811965811966
8312,1.2,Ideal,F,VS2,62.3,55.0,0.3418803418803419
8313,0.7,Premium,H,VS2,61.8,60.0,0.19943019943019943
8314,0.52,Very Good,I,SI2,60.9,59.0,0.14814814814814817
8315,0.42,Ideal,E,SI1,61.5,55.0,0.11965811965811966
8316,0.3,Ideal,D,VS2,62.2,55.0,0.08547008547008547
8317,0.3,Ideal,G,VVS1,62.3,55.0,0.08547008547008547
8318,1.08,Very Good,H,VS2,62.2,57.0,0.3076923076923077
8319,0.76,Ideal,J,VVS2,62.0,57.0,0.21652421652421655
8320,0.51,Very Good,J,VS2,58.0,62.0,0.1452991452991453
8321,1.22,Premium,I,SI1,62.1,59.0,0.3475783475783476
8322,0.28,Ideal,E,VVS2,62.1,56.0,0.07977207977207978
8323,1.23,Very Good,G,SI2,61.0,63.0,0.35042735042735046
8324,0.72,Ideal,F,VS2,61.9,54.0,0.20512820512820512
8325,0.34,Premium,D,VVS2,60.1,58.0,0.09686609686609687
8326,0.5,Ideal,F,SI1,62.7,56.0,0.14245014245014245
8327,0.36,Premium,G,VS1,62.3,59.0,0.10256410256410256
8328,0.29,Fair,D,VS2,64.7,62.0,0.08262108262108261
8329,0.5,Ideal,F,VVS2,62.1,58.0,0.14245014245014245
8330,0.32,Ideal,E,VVS2,60.9,55.0,0.09116809116809117
8331,0.5,Ideal,I,VS1,61.0,57.0,0.14245014245014245
8332,0.4,Fair,G,SI1,64.7,55.0,0.11396011396011398
8333,0.71,Ideal,F,SI1,61.6,56.0,0.2022792022792023
8334,1.06,Premium,H,VS1,62.1,60.0,0.30199430199430205
8335,1.5,Premium,F,SI2,63.0,59.0,0.4273504273504274
8336,0.41,Premium,F,VVS1,61.3,59.0,0.1168091168091168
8337,1.22,Premium,H,SI2,61.3,60.0,0.3475783475783476
8338,1.0,Fair,G,SI1,68.9,56.0,0.2849002849002849
8339,0.74,Premium,G,VS1,61.7,58.0,0.21082621082621084
8340,0.77,Very Good,D,VS2,63.0,58.0,0.21937321937321938
8341,0.36,Ideal,F,SI1,61.6,56.0,0.10256410256410256
8342,0.5,Very Good,F,VVS2,60.4,61.0,0.14245014245014245
8343,0.73,Ideal,E,VS1,62.3,56.0,0.20797720797720798
8344,0.7,Premium,F,SI1,62.6,55.0,0.19943019943019943
8345,0.9,Very Good,G,SI2,61.1,55.0,0.25641025641025644
8346,0.77,Ideal,F,VS1,62.1,57.0,0.21937321937321938
8347,0.72,Ideal,E,SI1,60.8,57.0,0.20512820512820512
8348,1.75,Ideal,G,VS2,61.5,57.0,0.4985754985754986
8349,1.01,Ideal,G,SI1,62.9,56.0,0.28774928774928776
8350,0.31,Ideal,E,VVS2,61.1,56.0,0.08831908831908833
8351,0.72,Premium,F,SI2,61.1,59.0,0.20512820512820512
8352,1.06,Premium,H,VS2,60.8,59.0,0.30199430199430205
8353,0.31,Ideal,H,IF,61.3,56.0,0.08831908831908833
8354,0.51,Ideal,E,SI1,61.7,55.0,0.1452991452991453
8355,3.01,Premium,J,SI2,60.7,59.0,0.8575498575498576
8356,0.33,Ideal,E,VS2,60.3,57.0,0.09401709401709403
8357,1.09,Very Good,I,SI1,61.4,58.0,0.31054131054131057
8358,2.03,Premium,J,SI2,62.7,59.0,0.5783475783475783
8359,0.3,Ideal,E,VS2,62.3,56.0,0.08547008547008547
8360,0.74,Very Good,E,SI2,63.1,57.0,0.21082621082621084
8361,0.31,Premium,F,IF,61.5,58.0,0.08831908831908833
8362,0.43,Ideal,H,SI1,62.5,57.0,0.1225071225071225
8363,1.7,Ideal,H,VS1,61.5,55.0,0.48433048433048437
8364,1.02,Good,F,SI1,63.2,59.0,0.2905982905982906
8365,0.41,Very Good,E,SI2,61.3,57.0,0.1168091168091168
8366,1.27,Ideal,G,VVS1,61.7,56.0,0.36182336182336183
8367,1.2,Premium,H,SI2,62.5,58.0,0.3418803418803419
8368,0.4,Ideal,H,VS1,62.7,59.0,0.11396011396011398
8369,1.3,Premium,G,VS2,60.9,60.0,0.3703703703703704
8370,1.02,Ideal,G,SI1,62.1,55.0,0.2905982905982906
8371,0.52,Premium,G,VS1,62.4,59.0,0.14814814814814817
8372,1.73,Very Good,H,VS2,61.7,56.0,0.4928774928774929
8373,0.7,Premium,F,SI1,61.9,59.0,0.19943019943019943
8374,1.21,Premium,E,SI1,62.6,58.0,0.34472934472934474
8375,0.51,Very Good,H,VS2,60.8,58.0,0.1452991452991453
8376,1.25,Good,I,SI2,60.5,64.0,0.3561253561253562
8377,0.32,Premium,G,VS2,61.5,58.0,0.09116809116809117
8378,1.54,Very Good,F,VS1,63.3,58.0,0.43874643874643876
8379,0.71,Ideal,F,VVS1,62.0,56.0,0.2022792022792023
8380,1.01,Very Good,D,SI2,62.0,57.0,0.28774928774928776
8381,2.02,Ideal,I,SI1,62.2,57.0,0.5754985754985755
8382,0.56,Very Good,F,VVS1,61.7,56.0,0.15954415954415957
8383,0.7,Ideal,G,VS2,61.6,56.0,0.19943019943019943
8384,0.3,Ideal,E,VVS1,61.8,56.0,0.08547008547008547
8385,1.6,Ideal,H,VS1,61.4,57.0,0.4558404558404559
8386,0.42,Good,D,SI1,63.3,58.0,0.11965811965811966
8387,0.59,Very Good,F,VS2,61.6,56.0,0.16809116809116809
8388,0.34,Premium,H,VS2,61.1,58.0,0.09686609686609687
8389,0.78,Good,E,SI1,57.9,62.0,0.22222222222222224
8390,0.38,Ideal,D,VS2,60.8,57.0,0.10826210826210828
8391,0.85,Ideal,G,SI1,61.6,55.0,0.24216524216524218
8392,0.7,Premium,F,VS2,60.6,58.0,0.19943019943019943
8393,0.32,Premium,H,VVS2,61.0,58.0,0.09116809116809117
8394,2.15,Ideal,I,SI2,61.7,55.0,0.6125356125356125
8395,0.32,Premium,H,VS2,61.4,60.0,0.09116809116809117
8396,2.4,Ideal,J,SI1,60.6,57.0,0.6837606837606838
8397,1.27,Ideal,F,VVS2,61.0,57.0,0.36182336182336183
8398,1.2,Very Good,D,SI1,62.4,58.0,0.3418803418803419
8399,0.71,Premium,F,SI2,59.6,59.0,0.2022792022792023
8400,0.4,Good,D,VS2,61.2,62.0,0.11396011396011398
8401,0.33,Premium,G,VS2,62.1,56.0,0.09401709401709403
8402,0.41,Premium,E,SI1,62.4,58.0,0.1168091168091168
8403,0.24,Very Good,F,VS1,63.0,58.0,0.06837606837606838
8404,0.6,Very Good,I,VVS2,63.7,57.4,0.17094017094017094
8405,0.34,Premium,F,VS2,62.6,58.0,0.09686609686609687
8406,1.55,Very Good,G,SI1,59.8,59.0,0.4415954415954416
8407,0.72,Ideal,F,VS2,61.8,59.0,0.20512820512820512
8408,0.96,Fair,G,SI1,69.7,59.0,0.27350427350427353
8409,1.22,Very Good,E,VS2,59.5,60.0,0.3475783475783476
8410,0.32,Ideal,G,VS1,62.1,55.0,0.09116809116809117
8411,0.33,Ideal,I,SI1,62.0,53.5,0.09401709401709403
8412,1.23,Ideal,G,VS1,61.8,57.0,0.35042735042735046
8413,0.34,Very Good,E,SI1,60.3,57.0,0.09686609686609687
8414,0.4,Good,E,SI1,63.3,56.0,0.11396011396011398
8415,1.03,Premium,F,SI2,61.4,57.0,0.2934472934472935
8416,0.38,Premium,G,VS2,59.7,62.0,0.10826210826210828
8417,0.78,Premium,F,VS1,61.5,58.0,0.22222222222222224
8418,0.92,Very Good,F,SI1,63.8,56.0,0.26210826210826216
8419,0.4,Ideal,F,IF,62.3,57.0,0.11396011396011398
8420,0.53,Ideal,D,VS2,62.6,56.0,0.15099715099715103
8421,0.73,Premium,F,VS2,62.3,60.0,0.20797720797720798
8422,1.04,Ideal,G,VS2,62.5,57.0,0.29629629629629634
8423,1.33,Ideal,H,SI1,62.7,56.0,0.378917378917379
8424,0.56,Ideal,F,VS2,61.6,56.0,0.15954415954415957
8425,1.18,Very Good,J,SI2,62.2,58.0,0.33618233618233617
8426,0.8,Very Good,E,VVS2,62.8,57.0,0.22792022792022795
8427,0.32,Ideal,G,VVS1,61.1,53.0,0.09116809116809117
8428,0.62,Good,G,VS1,62.5,60.8,0.17663817663817666
8429,0.85,Ideal,E,SI1,62.8,56.0,0.24216524216524218
8430,0.71,Ideal,G,SI1,62.1,56.0,0.2022792022792023
8431,0.5,Premium,E,VS2,61.4,58.0,0.14245014245014245
8432,0.71,Very Good,D,I1,59.7,63.0,0.2022792022792023
8433,0.36,Ideal,D,VS2,60.0,56.0,0.10256410256410256
8434,0.31,Ideal,F,VVS2,60.2,55.0,0.08831908831908833
8435,1.03,Ideal,E,VVS2,61.9,57.0,0.2934472934472935
8436,0.33,Ideal,G,VVS2,60.1,57.0,0.09401709401709403
8437,1.71,Good,E,SI1,64.0,53.0,0.4871794871794872
8438,1.5,Good,G,VS2,59.0,58.0,0.4273504273504274
8439,0.58,Premium,H,SI1,58.4,59.0,0.16524216524216523
8440,0.33,Ideal,E,SI1,62.0,54.0,0.09401709401709403
8441,0.69,Good,G,VS1,60.8,64.0,0.19658119658119658
8442,0.42,Ideal,I,SI1,61.8,55.0,0.11965811965811966
8443,1.26,Very Good,G,VVS1,60.2,59.0,0.358974358974359
8444,0.32,Ideal,F,VS2,62.2,55.0,0.09116809116809117
8445,0.7,Ideal,H,VVS1,60.3,56.0,0.19943019943019943
8446,0.35,Premium,H,SI1,61.0,62.0,0.09971509971509972
8447,1.01,Very Good,E,VVS2,63.3,55.0,0.28774928774928776
8448,1.5,Premium,I,VS1,62.7,59.0,0.4273504273504274
8449,0.6,Very Good,I,VS2,60.6,60.0,0.17094017094017094
8450,0.7,Good,E,VS2,64.1,59.0,0.19943019943019943
8451,1.0,Premium,E,VVS2,62.7,60.0,0.2849002849002849
8452,0.34,Ideal,D,SI1,60.1,57.0,0.09686609686609687
8453,0.35,Premium,F,VS2,61.5,59.0,0.09971509971509972
8454,0.33,Premium,E,VVS1,60.1,58.0,0.09401709401709403
8455,1.08,Ideal,H,SI1,62.2,57.0,0.3076923076923077
8456,0.7,Very Good,E,VS2,58.8,56.0,0.19943019943019943
8457,0.7,Ideal,F,SI2,62.0,55.0,0.19943019943019943
8458,0.3,Good,H,VVS2,63.1,60.0,0.08547008547008547
8459,0.73,Ideal,E,VVS2,61.6,55.0,0.20797720797720798
8460,0.38,Very Good,J,SI1,63.2,59.0,0.10826210826210828
8461,0.3,Ideal,E,VS1,61.6,57.0,0.08547008547008547
8462,0.3,Ideal,H,SI1,62.2,57.0,0.08547008547008547
8463,0.7,Very Good,E,VVS1,62.5,56.0,0.19943019943019943
8464,1.0,Premium,H,I1,61.3,60.0,0.2849002849002849
8465,0.54,Premium,H,VS1,61.9,56.0,0.15384615384615385
8466,1.0,Premium,D,SI1,61.5,60.0,0.2849002849002849
8467,1.0,Good,H,SI1,64.9,56.0,0.2849002849002849
8468,0.5,Good,F,SI1,59.6,61.0,0.14245014245014245
8469,1.77,Premium,I,VS2,62.3,58.0,0.5042735042735043
8470,0.33,Premium,H,IF,62.0,58.0,0.09401709401709403
8471,1.04,Ideal,I,SI2,62.4,57.0,0.29629629629629634
8472,0.62,Premium,H,SI2,61.0,62.0,0.17663817663817666
8473,0.31,Good,G,VS2,57.6,62.0,0.08831908831908833
8474,0.3,Premium,F,SI2,62.2,58.0,0.08547008547008547
8475,0.33,Premium,G,VS2,60.8,58.0,0.09401709401709403
8476,0.3,Ideal,G,VS1,62.0,54.0,0.08547008547008547
8477,1.14,Premium,F,SI1,60.4,58.0,0.3247863247863248
8478,0.75,Good,D,SI2,57.6,56.0,0.2136752136752137
8479,0.45,Very Good,G,VVS1,62.2,58.0,0.12820512820512822
8480,1.01,Very Good,D,SI1,60.7,58.0,0.28774928774928776
8481,0.78,Good,E,SI2,64.0,57.0,0.22222222222222224
8482,0.32,Premium,E,VS2,60.5,58.0,0.09116809116809117
8483,1.56,Ideal,H,SI1,62.4,53.7,0.4444444444444445
8484,0.44,Premium,E,VS2,60.4,58.0,0.12535612535612536
8485,0.36,Ideal,D,VS2,61.0,56.0,0.10256410256410256
8486,1.12,Ideal,D,SI1,61.2,58.0,0.31908831908831914
8487,0.75,Very Good,E,VVS1,62.3,57.0,0.2136752136752137
8488,1.1,Ideal,F,VS1,61.5,55.0,0.3133903133903134
8489,0.7,Ideal,I,SI1,60.4,57.0,0.19943019943019943
8490,0.54,Ideal,F,SI2,61.1,56.0,0.15384615384615385
8491,1.01,Premium,E,SI1,61.7,56.0,0.28774928774928776
8492,0.6,Premium,D,VS2,60.9,61.0,0.17094017094017094
8493,0.31,Ideal,G,VVS2,61.7,54.0,0.08831908831908833
8494,0.74,Ideal,I,VS1,61.1,57.0,0.21082621082621084
8495,1.2,Very Good,H,SI1,62.1,58.0,0.3418803418803419
8496,2.09,Ideal,I,SI2,61.2,57.0,0.5954415954415955
8497,0.41,Ideal,D,SI1,61.8,58.0,0.1168091168091168
8498,2.18,Very Good,I,SI2,63.3,58.0,0.6210826210826211
8499,1.02,Very Good,H,SI2,58.3,61.0,0.2905982905982906
8500,2.24,Ideal,H,SI2,61.4,56.0,0.6381766381766383
8501,0.3,Ideal,G,IF,62.3,56.0,0.08547008547008547
8502,0.54,Premium,J,VVS2,58.2,62.0,0.15384615384615385
8503,0.53,Ideal,D,VS2,62.2,56.0,0.15099715099715103
8504,0.36,Premium,F,VVS2,62.7,58.0,0.10256410256410256
8505,0.28,Very Good,H,VS1,61.9,56.0,0.07977207977207978
8506,2.17,Ideal,I,SI1,60.4,56.0,0.6182336182336182
8507,0.51,Good,D,VS2,63.7,57.0,0.1452991452991453
8508,1.55,Premium,H,SI2,58.0,60.0,0.4415954415954416
8509,1.52,Premium,I,VS1,61.1,58.0,0.4330484330484331
8510,1.07,Very Good,G,VS1,62.8,58.0,0.30484330484330485
8511,1.51,Ideal,I,SI1,62.2,56.0,0.43019943019943024
8512,0.4,Ideal,D,SI1,61.3,56.0,0.11396011396011398
8513,1.5,Very Good,H,SI2,62.0,63.0,0.4273504273504274
8514,2.28,Premium,H,SI1,59.3,58.0,0.6495726495726496
